"Culture","Population","log_Population","Contact","Total_tools","Lat","Lon"
"Malekula","1100","7.00306545878646","low","13","-16.3","167.5"
"Tikopia","1500","7.3132203870903","low","22","-12.3","168.8"
"Santa Cruz","3600","8.1886891244442","low","24","-10.7","166"
"Yap","4791","8.47449443688312","high","43","9.5","138.1"
"Lau Fiji","7400","8.90923527919226","high","33","-17.7","178.1"
"Trobriand","8000","8.98719682066197","high","19","-8.7","150.9"
"Chuuk","9200","9.12695876303713","high","40","7.4","151.6"
"Manus","13000","9.47270463644367","low","28","-2.1","146.9"
"Tonga","17500","9.76995615991161","high","55","-21.2","-175.2"
"Hawaii","275000","12.5245263766487","low","71","19.9","-155.6"